autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
,,,,
silviarubio19,"After more than one hour waiting a huge line, you expect to see something incredible but you find a ver small monastery with nothing special. If you are a student, you only pay 5 euros and that you might consider the visit worth it... But if you have to pay the 10 euros that costs the regular visit, save them for something better in Lisbon ;) ","Written August 22, 2018","Madrid, Spain",A very small monastery
Hawley50,"It is a lovely monastery but the ques are very long. There was only one person at the ticket office  the other was cashing up and it was only 10.50. It open at 10 and the que was round the corner of the building by 11. Otherwise it was very lovely and we did enjoy it. If you go, go early as its very popular.","Written August 22, 2018","Oxford, UK",Lovely monastery
mulcahys85,When we visited the queue was around the block - the queue for the museum 100 yards away was minuscule - it's definitely worth a visit too (especially the treasury full of gold) and you can but a ticket for the monastery and the torre too and skip the queues to both,"Written August 21, 2018","London, UK",Fantastic cloisters
Allan J,"We visited during a 40+ Celsius heat wave, and found the monestary to be both beautiful and wonderfully cool. Be sure to go to the upper floor for the view of the church, and buying tickets from the tourism booth a few hundred meters from the entry meant we could go right in. ","Written August 21, 2018","Jutland, Denmark",Beautiful place
Angela G,"This was definitely worth a visit - some amazing stonework, tiles etc. The queue was massive though - even at 10.30am it took 90 mins to queue. We split into 2 groups and one waited in line while the other went to see th monument to sailors, 5 mins walk away; then we swapped. ","Written August 21, 2018","Ascot, UK","Very interesting, reasonably priced but long queues"
Fleischpflanzerl,"Like everywhere in Lisbon you seem to have to wait for ages. Then everything is unorganized. Inside it is very beautiful and interesting to see. But some more explanation, soma audio-guide would have been good. Don't forget to take a look at the church (directly aside), and its free!","Written August 21, 2018","Düsseldorf, Germany","Waiting for ages, still beautiful"
16ash,"The queue was so long to get in and that was early morning but once inside, the architecture is incredible. Well worth the visit","Written August 21, 2018","London, UK",Actually enjoyed this...
Craig D,"Excellent but very busy, great historical location worth visiting, going on to try pasteis do Belem now.... ","Written August 20, 2018",8 contributions,Nice
Wynand P,"People lived here once. Worked, ate, prayed, slept... The building is amazing. It represents a time when life moved slower than now and monks spent at least 7 hours daily studying and in prayer and doing their daily religeous duties. The architecture is interesting and the detailled decorations jaw dropping. Well worth the drive/walk. ","Written August 20, 2018","Rustenburg, South Africa",Amazing
enioao,"It is a nice building, but extremely crowded during summer, I skipped the visit to the monastery, just went inside the church which is quite impressive.","Written August 20, 2018","Irvine, CA",Very crowded
,,,,
Andrea B.,"Lines to see the tomb of Fernando Pessoa were too long for us to wait, but we visited the main church area where the tombs of Vasco da Gama and Luis de Camoes are situated, very beautiful interior. ","Written August 19, 2018","Houston, TX",Beautiful!
FussybutFair44,"We queued for around 1.5 hours to visit this monastery. It is impressive but the queue is a problem, especially given the heat and there is no shade. It would be worth going early. The timeline exhibit is excellent. Can visit the church next door for free which is worth a look.","Written August 19, 2018","Melbourne, Australia","Very long wait, worth going early"
MariyaZ_444,"This was by far my favorite place in Lisbon.  Let me start with a tip, because most people only complain about the line here.  If you go to the archaeology museum (practically right next to the monastery),  you can buy tickets there too and cut the long line.  I discovered this by accident while on a mission to find the bathroom.  And BAM! - I got my ticket there with absolutely no line, and then passed into the monastery like a VIP.  ","Written August 19, 2018","Dallas, TX",Highlight of the Trip
Fiona M,Stunning church. Long queue to go up to the top but free to go into the church for photos etc. as long as this is done respectfully.,"Written August 19, 2018","Dublin, Ireland",Beautiful
Naz H,"This is a review of the church at the monastery, which is free to get into and has no queue. Unfortunately we didn't go into the actual monastery because the queue was so long that we had barely moved after 40 mins so we gave up! The church itself is really grand and is definitely worth checking out. If like us, you find yourself stuck in a massive queue, I would advise just checking out the church and going to ajuda palace or something like that as you can probably see a lot more by not waiting.","Written August 18, 2018","London, UK",Review of the church
In-Yong H,"Don't let the huge queues put you off - this is an amazing place to visit for its sumptuous architecture. There is so much detail on every wall, column and ceiling of this place. As previous reviewers have pointed out, get your tickets are the nearby archaeological museum where the queues are much shorter, then you can go and skip the queue for the tickets. If you have bags, you can also use the lockers at the archaeological museum to lighten the load. Don't forget to see the church, which you don't need ticket for but we almost completely missed.","Written August 18, 2018","London, UK","A must see, get tickets at the archaeological museum"
Claire F,Get there early but you will still queue. It is so busy. Well worth the visit for the architecture alone. On a bright day the light is amazing. ,"Written August 18, 2018",49 contributions,Very busy
rooeda,"amazing architecture , we got decker bus and had good offer on all attractions for 48 hours so we had a chance to see it all and come back any time, bar  nearby offeres lovely food and water view. will be back","Written August 18, 2018",manchester,amazing architecture
Hungry_Weka,One of the big five sights in Lisbon so little surprise the lines were endless. Coaches deposit big groups and guided tours and parent with young children jump the queues which irked me.,"Written August 18, 2018","Pauatahanui, New Zealand","Huge queues, we gave up on visiting"
bestbites26,"had a short tour, there was a wedding going on so we had limited area to look at.  it was simply beautiful  ","Written August 17, 2018","Edison, NJ",Beautiful
,,,,
Richard-1973y,"About 100 metres left of the entrance is the entrance of the museum. Buy a combination ticket for the museum and the monastery there for €12 (which is € 2 more than a ticket to just the monastery). Skip the museum, it’s not worth it. Really, it’s not. Get out of there and walk past the long ticket queue while you laugh. Once you’re at the entrance of the monastery, take the middle line (the one with the do-not-enter sign). It’s not really a line because there are no people there, but you know what I mean. In the very unlikely event that the guard asks for it, flash your combination ticket. Walk past the ticket counter and enter the monastery. You just saved yourself 1.5 - 2 hours which you can spend drinking wine while you talk about the fact that the monastery is pretty nice BUT NOT WORTH THAT TWO HOUR LINE and how happy you are about the fact that you skipped it.","Written August 17, 2018","Barendrecht, The Netherlands",Buy your ticket at the museum
kpdean50,Well when we got here the queue was so long and standing in such heat made us give up. Although it looked so impressive from outside.,"Written August 17, 2018","Birmingham, UK",Looked impressive
Bonnie B,"Again, an iconic stop for any visitor to Lisboa!! Very crowded but worth the time. Grounds/courtyard are beautiful and the tile work reflective of Portuguese history. The oldes tile makers in the world.","Written August 17, 2018","Tucson, AZ",Not to be Missed!
lemotka,Visited the monastery and the church mid August . The queue to get in was  a killer and we wasted nearly 2 hours roasting under the sun. The secret is to get a ticket to the next door Archeological museum ( no queue ! ) that also gives you access to the monastery ... but then again there is absolutely no one to tell you that . The monastery ticket office had only one kiosk working and serving hundreds of people . Not good. The monastery itself is spectacular but there is very little information about it inside . You better have a guide book with you or use Google to learn more about it . The church is free and it is absolutely magnificent . There is the final resting place of one of the greatest explorers Vasco Da Gama.  A must see. ,"Written August 17, 2018",United Kingdom,Hell on a hot day but worth it
Tim D,"We enjoyed the monastery once we were inside, but waited in a queue in the hot sunshine for an hour and a half. Only one woman on the ticket desk with a strange queuing system in and out. Loved the time display and the architecture, but quite pricy for an hour's activity.","Written August 17, 2018","Ashbourne, UK",Long wait
Karen F,We spent 4 days in Lisbon in July. What a wonderful city. Our visit to the monastery was extremely enjoyable and a must if you’re in Lisbon. The quickest way to get there is by taxi or Uber. Otherwise it gets complicated. Get there early if it’s a peak touristy season because by 11:00 the lines are long. They opened at 10:00 and we got there at 10:30 and probably waited a half hour to get in. Don’t forget to visit the church next to the monastery. A great visit.,"Written August 16, 2018","Houston, TX",Well worth a visit!!
kim r,"Jeronomos Monestery  in Belém is a spectacular 16th century monastery. The monastery, remarkable inside and out, has played important roles throughout Portugal’s history as the place where explorers (including Vasco da Gama) stayed before voyages. Vasco da Gama is buried here in the nave of the monastery's church, which is built in Late Gothic Manueline style ( named for King Manuel) and is one of the most impressive things to see in Lisbon.","Written August 15, 2018","Los Angeles, CA",One of the most impressive things to see in Lisbon.
smaarek,"The lines were very long, they should have kiosks to enter! Very beautiful, but we would have liked to have known that you cannot enter the monastery part only the inner court yard.","Written August 15, 2018","Montclair, NJ",Worth a trip
muz m,We visited the church alongside the monastery which was interesting as we saw Vasco Da Gama’s tomb but we were put off by the huge queue for the monastery and reckoned our teenage children wouldn’t appreciate it  as much we would hope.  Good to be able to resist the obvious tourist traps sometimes.,"Written August 14, 2018","Leeds, UK",Visit to Belem
cristenrs,"The monastery was beautiful, although there’s not a lot inside so it doesn’t take up a lot of time. We took our time going through and were there less than 2 hours. If you have a child under 2 you can get priority and skip the ticket line which was wonderful! ","Written August 14, 2018","Glen Rock, NJ",Beautiful place 
,,,,
Henrik K,"All though the line is long to get in, it is worth it.","Written August 14, 2018","Frederiksberg, Denmark", Beautiful 
lea M,"We had to wait for 1 hours with the kids to see the cloister which is nice but there is not muche more to see. The price is too high for what it is. It can be over in 20 minutes. If you have some kind of price deal and there is no line, then it's ok. Otherwise I think it would enough to enter the Church (free) and go see other sights of Lisboa","Written August 14, 2018","Calco, Italy",If there is no line
DanAlex1313,"We went there, saw one of the biggest queues in our life and left. It is impossible to approach this attraction in August, do not even try to go there.","Written August 14, 2018","Mainz, Germany",Do not come in August
Ḥawwāh,"This is a beautiful place that truly deserves a visit. Being Spanish, I am used to amazing cathedrals and monasteries but I was very impressed by Jeronimos.","Written August 14, 2018",DUBLIN,Beautiful monastery but huge queues
Kevin W,"Okay, so tourist buses go in and there can be a huge line up at the main door to buy your ticket to go in.  A little trick, walk 50m to the next entrance (to the museum), and buy your Monastery ticket there.  You can also buy a combo ticket for the museum and Monastery, but I politely declined and just bought two Monastery tickets. The Church portion (ground level) is free to get in, but you can view the Church from the 2nd level of the Monastery.","Written August 13, 2018",Canada,Worth the visit - How to avoid the line up!
Valued_Opinion,"The best part of Jeronimos Monastery is the Church, (which has a much shorter queue to get in). The cloister is worth standing in line for - but not for more than 30 minutes. All there is to see on the inside is the cloister and church. ","Written August 13, 2018","Madrid, Spain",2 to 3 hour wait! Not worth it
Patrick C,"A Monastery!!! Huge, very crowded, but awe inspiring! Go early or late! Take the Belém tram! Go to the pasteralia. ","Written August 12, 2018","New York City, NY",Overwhelmed 
GordonW318,One of the best buildings in Lisbon and a must visit. There could be queues but with a Guide you get to the front and enter immediately; a benefit of having an authorised Guide. The architecture will blow you away!,"Written August 12, 2018","Gloucester, UK",A Great Monastery
Paul v,"We had great expectations of this place. But ones we got there, it was 1 big mass of people queue'ing. Just ridiculious.","Written August 11, 2018","Amsterdam, The Netherlands",QUEUE!!
Vacationset,"We got our tickets from the second entrance by the archeological museum without having to buy museum tickets. It’s to the left of the main entrance, after talking to a vendor he said we didn’t have to wait in the long line. Once in the courtyard it was difficult where to focus our camera and our attention among all the cloisters. It is absolutely amazing. We loved the Manueline architecture style and the church inside. Vasco de Gama is entered here also, so it was great to be able to connect the maritime explorer’s history dots. This is place not to be missed. ","Written August 11, 2018","Southport, IN",Absolutely Amazing 
,,,,
Amanda G,Great place to visit but there is always a long queue to buy the ticket. You can get it also at the information office just in front of monastery so you can save a lot of time waiting.,"Written August 11, 2018",5 contributions,Nice place
leeannb3,"If you are staying in Lisbon centre you need to take the Tram 15 out (or one of several buses) that are all very crowded. We arrived at 9:45 (it opens at 10:00) and there was already a very large line. We waited until almost 10:30 to get in. So my advice is to get up early and be there by 9:30. The wait is in the sun so take caps and water. Lots of gypsies selling sungasses, water, scarves, etc.","Written August 11, 2018","El Ejido, Spain","Lovely, but very crowded!"
bruninaov,"The long queue for the monastery entrance (for 1h or even longer) lasts for the whole day in August. But! The church itself is free of charge and free to enter. So most of the beauties you can find inside the church - wonderful architecture, tomb of Vasco de Gama, hand of God... Thus, we didn’t visit the monastery in the end and still enjoyed the visit.","Written August 11, 2018","Moscow, Russia",Long queues in August 
FGG-DXB,This place is amazing in terms of architecture. We were able to visit the outside only due to the excessive queues. Try to book on line if possible in order not to waste half the day in a queue.,"Written August 10, 2018","Dubai, United Arab Emirates",Amazing architecture
Luk_Meister,We arrived 30 minutes before the monastery opened and there was already a line up waiting to get in.  By the time the place opened (10am) the line up was around the corner in the sidewalk.,"Written August 10, 2018","Toronto, Canada",Wonderful place to visit
Faraway63,It is located in Belem and it is a good place to spend 1-2 hours.It looks impressive from outside but a little bit underwhelming inside the monastery.Very crowded on weekends.,"Written August 10, 2018","Mississauga, Canada",Monastery
Elizabeth L,Unexpected but worth the wait despite the lengthy lane under the sun!!!,"Written August 10, 2018",10 contributions,Awesome
Jon C,Went out to Belem and decided against visiting the tower due to length of the queue & decided to go to the monastery instead. Waited over an hour to get in which may have been due to only one person working the entrance desk.,"Written August 10, 2018","Bedfordshire, UK",Impressive but not worth the hour queue
dskid,"There's a lot packed into a relatively small area in Belem and the Monastery is one of them.  We enjoyed wandering through the rooms and halls, and especially liked the courtyard.  I don't think you'll be disappointed.  I also don't think you need to take a guided tour unless your interest in this place extends beyond that of the average tourist.  I see there are almost 17,000 photos so I think I won't post any more.","Written August 9, 2018","Overland Park, KS",Well worth a visit
Will,"1st tip is don't listen to the reviews telling you to get a combined ticket from the museum. It's true this queue is shorter but it moves at a much slower rate than the one at the Monastery, which moves at a faster pace. You will gain no time and it's probably longer time to wait. Otherwise I highly recommend visiting both sights.","Written August 9, 2018","Istanbul, Turkey",Jeronimos and Archaelogical Museum
,,,,
NJTriper,A Beautiful place to spend some time in.,"Written August 8, 2018","Fort Lee, NJ",Beautiful place
NC_Rambler,"The cloisters of this monastery are among the most beautiful I have ever seen and should not be missed if you’re in Lisbon.  TIP: If the ticket line is long, you can purchase tickets at the archeological museum next door, and there may not be a wait.","Written August 8, 2018","Cary, NC",Fantastic!
Weekend_traveler_87,Maybe the best place in lissboa. Beautifully kept and worth a lengthy visit. You will be able to walk the central courtyard and see the church itself. ,"Written August 8, 2018","Rotterdam, The Netherlands",Beautiful 
tonje k,"If you want to avoid the que who is 40 minutes long, go to the archeologichal museum to get your ticket. You can go post the que with it. The curch enterance right beside is free. The place is amazing!","Written August 8, 2018",7 contributions,Worth the price!
147summer01,Is one of the must do things in Lisbon. Really long lines to get in but it is worth it. Don't go on Monday is closed.,"Written August 8, 2018","Coastal South Carolina, SC",Great history
agnieszka f,"Cloisters were breathtaking - that's true, however there was only one man at the counter selling tickets !  The queue was very long, it took 40 minutes to get a ticket . Visitors - old and young people  were standing in full sunshine when it was extremely hot (about 42 degrees) .  I think visitors should be taken more care and empathy.  ","Written August 8, 2018",40 contributions,Amazing place with poor organization
Bakhos F,Place to visit. With a nice church and amazing orgue . One of the biggest monastery in Europe. And the fees are not expensive ,"Written August 8, 2018","Paris, France",Nice architecture
Stephen W,"This monastery/church survived the Great Earthquake of the 1700’s with some damage, most of which has been repaired, except some decorations on the columns - which have detailed carvings depicting sea monsters - which the early explorers supposedly vanquished. You be the judge!!","Written August 8, 2018","Pleasanton, CA",Tomb of Vasco de Gama?
PYen2015,The palace is huge and beautiful; probably the longest route from King's bedroom in one tower to the Queen's bedroom in the other. The library is one of the beautiful in the world I have seen. Very instagrammable pictures :) It was an easy (express) bus travel from Lisbon.,"Written August 8, 2018","Singapore, Singapore",Graduation Trip with the Girls
Barry R,"We bought our tickets in the archeological museum next door, and consequently passed the very long queue","Written August 7, 2018","County Dublin, Ireland",Nice to see but not worth the queue
,,,,
Lenabogaard,I particularly liked my visit to the Monastery. It is beautiful inside and out. A must see part of history in Lisbon. Very organized and I loved my time in there. ,"Written August 7, 2018","Bad Wildbad, Germany",Great place to visit
Amanda H,Well worth a visit to here. The cloisters are simply lovely with such stone carved details.,"Written August 7, 2018","Bath, UK",Beautiful Cloisters
Ben B,"A really beautiful building in the elegant town of Belem, not far from the famous bakery, and featuring the tombs of kings, poets and the traveller Vasco Da Gama …in whose honour it was constructed","Written August 7, 2018","Birmingham, England, United Kingdom",Astonishing building
alyn_paraschiv,"I visited Jeronimos Monastery in January 2018, for the second time. It is amazing. A lot of history, beautiful sculpture and architecture","Written August 7, 2018","Bucharest, Romania",Must see in Lisbon
DanQ9,"The monastery is beautiful and lends itself to many great photo opportunities. Avoid the morning rush and arrive in the afternoon. I arrived in the morning hoping to avoid any lines. After an hour waiting, I finally got in. A few hours later, in the afternoon, I left the monastery and noticed there was no line. ","Written August 6, 2018","Brooklyn, NY",Avoid the Morning Line
Adrian,"Very picturesque, big (by length) and imposing.","Written August 6, 2018","Braila County, Romania",Magnificent
dawnian00728,We visited in June and was brought to tears at the sheer beauty of the Monastery. I felt totally at peace on entering. The knowledge that it had been there 1000s of years made the experience even more appealing. A must visit when in Lisbon,"Written August 6, 2018","Cleethorpes, UK",Beautiful!!!!
ChrisE01,"Amazing architecture and a truly beautiful building. Long queues to get in, but this can be avoided be getting your ticket in the museum next door.","Written August 6, 2018","London, UK",Definitely worth the wait
Likornios,"Nice building, within walking distance from Belem Tower. Entrance is Free every first Sunday of each month.","Written August 6, 2018","Athens, Greece",Free every first Sunday of each month
c0lettebrides0n,"Our visit was compromised by the rehearsal for a police ‘passing out’ ceremony, so part of the area was cordoned off. Nevertheless we enjoyed the monastery and other attractions near by. Worth allocating 4/5 hours including travel time.","Written August 6, 2018","London, UK",Well worth a visit
,,,,
kbbeti,"Amazing arquitectural building, nice visit and walk inside the monastery and church. We did not need a guide tour but it is available. ","Written August 6, 2018",Florida,Very interesting visit
Sarah G,"There was a waiting line of two hours in full sun (42 degrees), so we skipped this, but just walking around and going in the church was almost as good.","Written August 5, 2018","Brussels, Belgium",Major waiting lines
Nuala D,We had read in our lonely planet guide that it was free between certain hours on a Sunday however this is for Portuguese nationals only. It was €10 but definitely worth it. The architecture was beautiful and so many photo opportunities ,"Written August 5, 2018","Belfast, UK",Absolutely stunning Architecture 
SGupta1111,"We were in Lisbon during the last week of July and had this historical place at the top of our choice but we were heavily disappointed by the queuing part to enter. Thanks to Lisbon pass that almost everyone buys, we had to queue for more than an hour in scorching heat only to feel disappointed by what we got to see after that. To our shock there was just one ticket window after your enter and I am not sure what this lady was upto, it took us forever to get in. I think if we had direct entry without this long queue in the sun we would have appreciated the monastery better. There is no doubt that it's beautiful place to visit but had I known how it looks I wouldn't make such a touristy effort for it.  Tips: Don't buy Lisbon pass, it felt like a waste, since everyone buys it and everyone queues. Unless you can really make the best of it all in 24/48 hours whatever that is, it's a waste of money. Take separate tickets that gets you direct entry. The entry to the church which is at the entrance, of course, remains free.","Written August 5, 2018","Emirate of Abu Dhabi, United Arab Emirates",It was slightly disappointing
Mark B,The monastery allows us to peer into the history as to how the life was back in 11th through 18th century. ,"Written August 5, 2018","Decatur, GA",Historical place
Denis D,The church itself is about 3/5 and was free when we went.  Challenges is when you’ve been to Paris and Rome it’s had to compete none the less each one is unique is architecture and this one fairly decent.,"Written August 4, 2018","Belleville, Canada",Church was free.  Rest is pay and it’s ok... 
sonageorgian,Excellent place to visit. Definitely will recommend this landmark.  We took the tram to go there from Lisbon.  It was a short tram ride.,"Written August 4, 2018","Westlake Village, CA",excellent
Paolo Z,"Wonderful. It is very crowded, try to avoid the very long queues by being there before it opens (10 A.m.).","Written August 4, 2018","Bologna, Italy",Must see.
lalitasct,"It is a wonderful place. You have to make a huge queue to buy your tickets, but we discovered that you can buy the ticket in the archaeological museum that is next door, where the line is not so long. Inside it is beautiful and do not forget to visit the church of the monastery which is very impressive.","Written August 4, 2018","Greater London, UK",Holiday 
soulefultraveler,Stunning exterior.  Interesting interior - but best to go with a guide.  Usually a line up to get in if you are not with a group.,"Written August 3, 2018","Sun City West, AZ",Wonderful outside and in
,,,,
csmurf,"We just viewed this from the outside and it is an amazing, detailed structure with wonderful craftsmanship. Definitely worth a look. It’s down the road from the custard tart shop","Written August 2, 2018","Cork, Ireland",Magnificent Building
Canadian Globetrotter,Architecture of the monastery is stunning!   History of the place is even more amazing.      There is also a cathedral adjacent to the monastery which is also stunning!,"Written August 1, 2018","Toronto, Canada",Must visit monastery in Lisbon!
Sweetcarioca,"We were very impressed with this place,really amazing architecture,beautiful garden and close to the famous pastel de Belém ","Written July 31, 2018","Zwijndrecht, The Netherlands",Beautiful 
BookishBeachGirl,"We took a  20 minute bus ride from downtown Lisbon out to Belem to see this amazing Monastery.  The cloisters are so beautiful, as is the cathedral.  Seeing Vasco De Gama's tomb was a highlight.","Written July 31, 2018","Winnipeg, Canada",Not to Be Missed
bgilad,We paid 45€ for a family of 5. Very disappointing - nothing to see that you can’t see in two pictures online. I suggest only entering the church for free and saving your money.,"Written July 31, 2018","Berlin, Germany",Not worth the money
Daydream279423,Beautiful building with an interesting background shown on display boards inside. There was not as much history shown as I’d like but the serenity and beauty of the monastery made up for that. I got there at 1.30 and queued for 40 mins to get in- we’ll worth it ,"Written July 31, 2018","Glasgow, UK",Beautiful building - allow 2 hours to tour
NanaB7,"Read the reviews about getting tickets at the information desk across from the monestery so you don’t need to queue, a great tip as we walked straight past all the queues showed our tickets to the security guard and went straight in. The monestery is well worth a visit.","Written July 31, 2018","Preston, UK",Beautiful monestery
Helen K,"We had to queue to enter the monastery, but when we entered, we just had to look in awe at this fabulous building.  The crowds of people disperse immediately when you get inside so you can marvel at the amazing architecture.","Written July 31, 2018","Worcester, UK",Wow
lifenadventure,I read all the reviews and saw you could buy your ticket at the link information desk just across the road. We did this and walked straight in past the extremely long queue. Do not wait. ,"Written July 30, 2018","Dubai, United Arab Emirates",Do not queue - buy before u go 
John M,"Really quite a stunning building, very beautiful and ornate. If you are in Belem and short of time then go here!","Written July 30, 2018","York, UK",Worth the wait - another must-see!!
,,,,
Anurag Agarwal,"The monastery is very very nice, go inside take a look, Vaco da Gama is buried here.  The outside is pretty and inside is grand.","Written July 30, 2018","Knoxville, TN",Beautiful interior
DJ99,"During our recent vacation in Lisbon, the monastery was on the list of must see venues based on all of the research that we completed prior to arrival. After waiting in line for an hour, and paying 10e we were very disappointed in this site. It is a beautiful and large building but in my opinion, once you’ve seen the outside of it, There is nothing more to see on the inside. The church is beautiful and well worth your time to see. The church is free and the lineups are short but save your time and money and skip the inside of the monastery.","Written July 29, 2018","San Diego, CA",Do not waste your time
Noghnosh100,This is a huge and Old Monastery well maintenance that keep the Building clean and give it its Admirable Attraction with its white Color. Most impressive is the part showing the changes in the world from day one of building the Monastery till this moments.,"Written July 29, 2018","Riyadh, Saudi Arabia",Impressive
karen f,Get here nice and early to beat the queues and savour the beautiful architecture and history. Remember its CLOSED on Mondays though!,"Written July 29, 2018","Leeds, UK",a Must do
pajn2015,This is the place for history lovers to go. Along with the maritime museum almost next door you could get lost in time here.,"Written July 29, 2018","Fremantle, Australia",Amazing place
kissafish4343,"The Manueline architecture is stunning and completely worth the admission price. The line and wait was a bit long, but certainly worth it in the end. ","Written July 28, 2018","Washington DC, DC",Treasures Hidden All Over!
Half Full,"...absolutely stunning, albeit smaller viewing area inside than expected. Would definitely recommend, but as with castle need to admit 3 with a family ticket. Unfair that people with two  + children pay less than those with one.","Written July 28, 2018","Ilkley, UK",Worth a visit....
teach1113,Take the bus to Belem. Get off and have a nice pastel de nata. After that walk over to the tower and then back to the monostery. Amazing detail and architecture / attached chapel worth the visit. ,"Written July 27, 2018","Toronto, Canada",MUST SEE!
Elysia N,Great deal if you’ve picked up the Lisboa Card (entry is 10€ and the card is 19€ for 24 hours). Incredible architecture. ,"Written July 27, 2018","Port-au-Prince, Haiti",Beautiful spot 
Lorcan,This was our favourite visit on our trip to Lisbon. Stunning architecture! Well worth the entrance fee. ,"Written July 27, 2018","Upchurch, UK",The best attraction in town
,,,,
Ylva,We did a touristy thing and went to mosterio dos Jerónimos. ,"Written July 27, 2018","Eskilstuna, Sweden",Ok 
CeciliaJewel,Wish we had more time over this area. So much to enjoy. Amazing to see the vastness of the cathedral so connected to great historical achievements. ,"Written July 27, 2018","Rye, NY",Stunning
Natasha,Was awestruck at the beauty of this classic building. Jaw dropped at the exterior and interior. Beautiful architecture and mesmerising aura. Don't.ever.miss.jeronimos.monastery!!,"Written July 27, 2018",326 contributions,Awestruck
Gordon W,"A truly superb monastery, which certainly deserves its high ranking on TripAdvisor.  The detail in the carving is astounding and the vaulting is simply beautiful - as testified by the 150 or so photos which we took.  We were very fortunate to visit in November, when the monastery was a quiet and very serene place to be.","Written July 26, 2018","Broken Hill, Australia",Absolutely superb
Madaboutphoto,Went here late one morning and found that it would have entailed waiting about 2 hours to gain access. Found out afterwards that it is possible to gain fast access with a paid for priority pass. Do this!!,"Written July 26, 2018","London, UK",Too long a queue to gain access
apol_maria,Not only beautiful structurally but also with its history! ,"Written July 25, 2018","Cascais, Portugal",A must-see site!!
MattKemUK,"A queue of about 40mins to get in, as we didnt book ahead, but very worth the wait. The building itself is stunning, the place didnt feel over crowded and the amount of thought and detail that has gone into the displays and exhibits is first class. Pop in whilst you are there.","Written July 25, 2018","London, UK","Spectacular monastery, interesting exhibits"
Daniela_Oliveira_BPN,"Be smart to plan this visit, buy the tickets on line in the DGPC bilheteria, you can buy the Mosteiro or the Mosteiro + Museum combined. No matter which option you choose buy it online otherwise you’ll be in line for a very long time, under the sun - no shades. ","Written July 25, 2018","Courchevel, France",Stunning!! Must visit 
Thejourneygenie,"This is a very beautiful and tranquil place to visit, as stunning from the outside as it is inside. Definitely worth a visit. ","Written July 24, 2018","Abbotsford, Canada",A travel “wow” moment 
Annie Z,"We had to wait 45 minutes under the sun to buy tickets to visit this monastery since there was only one cashier working, and when I finally arrived to pay and made the remark why the wait was long, she only shrugged. Then to our astonishment you only visit the interior corridor of the monastery with it’s beautiful arcades and then you can enter the upper part of the church. If you don’t buy tickets you can visit the lower part of the monastery’s church which by itself beautiful and you don’t have to wait so long in line.","Written July 24, 2018","Montreal, Canada",Disappointed
,,,,
MITHANINAZIA,"This Gothic Architecture masterpiece, inspired by Vasco Da Gama, was built in 1502.  The great navigators of the past, including Vasco De Gama is buried here.  The church and monastery are stunning.  The Jeronimos Monastry is as beautiful inside as it from outside.  The building can be viewed from across the road from Belem Tower.   Entry to the church is free, so those who have less mobility and cannot walk through the Monastry can visit the church.  A great place to take pictures.  Wonderful experience.  Highly recommended.","Written July 24, 2018","Karachi, Pakistan",Incredible Architecture - A masterpiece
vinpmd,What a spectacular place. Beautiful church that rivals churches in Italy. We found it to be a great place to take family pictures with all the beautiful courtyards .,"Written July 23, 2018","Voorhees, NJ",Incredible
Heather M,This was a great stop while we were in Belém. It’s beautiful on the outside but just as beautiful inside. Worth the 10€. I think we spent almost 1.5 hours here seeing all the different parts. ,"Written July 23, 2018","San Diego, CA",Beautiful monastery
nowherem0n,A good history of the development of the church and monastery linked to events within Portugal and across the world. The church is stunning and we were lucky to enjoy the rehearsal of a small group of musicians with a soloist whose beautiful voice soared in the chancel.,"Written July 23, 2018",scotland,Wonderful church
VittorioDeFalco16589,"When you get off to the train station of Belem and you walk through a park, after you find this enormous and spectacular place. Outside is full of decoration, that is really impressive. You stare at all the particulars and you are immediately surprised by the level of details and beauty. I suggest to have with you a professional camera to remember this place. Buy the ticket not at the monastero, but if you walk further there is an archeological museum connected to the monastero. Buy there a combined ticket (museum+monastero), then go at monastero and jump the long queue. Inside there is a cloister heritage of Unesco. It is incredible. I guess it is difficult to explain by words, if you do not see it. The church also is incredible. I am sure that you will have a fantastic experience there!","Written July 23, 2018","Naples, Italy","Astonishing monument, UNESCO heritage"
Nicola,I went here on a Sunday in Belem and the lines were insane - over an hour wait to get in.,"Written July 23, 2018",4 contributions,"Nice little visit, queues very long"
Hélio R,"A 500 year old historic monastery with some of the most influential Portuguese people of all time buried there. This place is packed with history and it is very well maintained. See across the road the padrão dos descobrimentos and centro cultural Belem, well worth the visit.","Written July 23, 2018","Viseu, Portugal",History 
Javo73,This monastery is amazing. When you walk inside you feel transported to a different era. The building decoration is very different to what you see in the rest of Europe.,"Written July 22, 2018","Monterrey, Mexico",Impressive Architecture 
Bernard L,"Do not line up for tickets at the main entrance. There is an information booth next to where the tour bus parked, no line up and you can get your tickets in less than 10 minutes.","Written July 22, 2018","Vancouver, Canada",Long line up
Jill H,"The monastery is gorgeous.  I'm glad I read TripAdvisor reviews before going, so I knew to go to the Archeology Museum nearby to buy tickets.  We toured that museum, and then by-passed the humongous line for the monastery, and went right in!   ","Written July 21, 2018","Mount Eden, KY",Magnificent!
,,,,
Matija S,There is a little kiosk that sells tickets which is situated to the left of the entrance when you are facing the sea.,"Written July 21, 2018",17 contributions,Skip the line!!!!
